"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"101238UK-L",Thai Orchid,"""Floral""","""Floral""","""Ylang, Green Notes""","""nan""","""Vanilla, Jasmine, Orange Blossom, Musk""","""Lilac""","7.5P","""7""","""4""","""Classic"""
"101238UK-L",Thai Orchid,"""Floral""","""Floral""","""Ylang, Green Notes""","""nan""","""Vanilla, Jasmine, Orange Blossom, Musk""","""Lilac""","7.5P","""7""","""4""","""Classic"""
"101238UK-M",Thai Orchid,"""Floral""","""Floral""","""Ylang, Green Notes""","""nan""","""Vanilla, Jasmine, Orange Blossom, Musk""","""Lilac""","7.5P","""7""","""4""","""Classic"""
"101238UK-M",Thai Orchid,"""Floral""","""Floral""","""Ylang, Green Notes""","""nan""","""Vanilla, Jasmine, Orange Blossom, Musk""","""Lilac""","7.5P","""7""","""4""","""Classic"""
"101238UK-S",Thai Orchid,"""Floral""","""Floral""","""Ylang, Green Notes""","""nan""","""Vanilla, Jasmine, Orange Blossom, Musk""","""Lilac""","7.5P","""7""","""4""","""Classic"""
"101238UK-S",Thai Orchid,"""Floral""","""Floral""","""Ylang, Green Notes""","""nan""","""Vanilla, Jasmine, Orange Blossom, Musk""","""Lilac""","7.5P","""7""","""4""","""Classic"""
"101239DE-L",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239DE-M",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239DE-S",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239FR-L",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239FR-M",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239FR-S",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239IT-L",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239IT-M",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239IT-S",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239UK-L",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239UK-M",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"101239UK-S",Pina Colada,"""Oriental""","""Gourmand""","""Crushed Pineapple, Bergamot""","""Coconut Milk, Sparkling Ginger""","""Warm Vanilla, Crystalized Sugar Cane""","""White""",N10,"""0""","""10""","""Classic"""
"10123DE",Hawaiian Coconut,"""Oriental""","""Gourmand""","""Coconut""","""Jasmine, Candy""","""Musk, Vanilla""","""White""",N10,"""0""","""10""","""Classic"""
"101240DE-L",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240DE-M",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240DE-S",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240FR-L",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240FR-M",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240FR-S",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240IT-L",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240IT-M",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101240IT-S",Mermazing,"""Fresh""","""Fruity""","""Lemon, Orange, Grapefruit, Eucaliptus""","""Rose, Rhubarb, Peach""","""White Flowers, Cedar Wood, Red Fruits""","""Turquoise""","2.5BG","""8""","""6""","""Exclusive"""
"101241DE-L",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
