"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"101201FR",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201FR-L",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201FR-M",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201FR-S",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201IT-L",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201IT-M",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201IT-S",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201UK",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201UK-L",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201UK-M",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101201UK-S",Moonlight Flowers,"""Woody""","""Mossy Woods""","""Red Berries""","""Pine Needles, Minty Notes""","""Treemoss, Fir Balsam""","""Light Blue""","10B","""7""","""4""","""Classic"""
"101204DE-L",Non mais aloé quoi,"""Fresh""","""Green""","""Lemon, Green Note""","""Aloe Vera, Cucumber, White Blossom""","""White Musk""","""Mint Green""","10G","""9""","""6""","""Exclusive"""
"101204DE-M",Non mais aloé quoi,"""Fresh""","""Green""","""Lemon, Green Note""","""Aloe Vera, Cucumber, White Blossom""","""White Musk""","""Mint Green""","10G","""9""","""6""","""Exclusive"""
"101204DE-S",Non mais aloé quoi,"""Fresh""","""Green""","""Lemon, Green Note""","""Aloe Vera, Cucumber, White Blossom""","""White Musk""","""Mint Green""","10G","""9""","""6""","""Exclusive"""
"101204FR-L",Non mais aloé quoi,"""Fresh""","""Green""","""Lemon, Green Note""","""Aloe Vera, Cucumber, White Blossom""","""White Musk""","""Mint Green""","10G","""9""","""6""","""Exclusive"""
"101204FR-M",Non mais aloé quoi,"""Fresh""","""Green""","""Lemon, Green Note""","""Aloe Vera, Cucumber, White Blossom""","""White Musk""","""Mint Green""","10G","""9""","""6""","""Exclusive"""
"101204FR-S",Non mais aloé quoi,"""Fresh""","""Green""","""Lemon, Green Note""","""Aloe Vera, Cucumber, White Blossom""","""White Musk""","""Mint Green""","10G","""9""","""6""","""Exclusive"""
"101207DE",Marzipan Joy,"""Oriental""","""Gourmand""","""Almond""","""White Blossom""","""Sweet Woods""","""Light Yellow""","10Y","""9""","""4""","""Blogger"""
"101207DE-L",Marzipan Joy,"""Oriental""","""Gourmand""","""Almond""","""White Blossom""","""Sweet Woods""","""Light Yellow""","10Y","""9""","""4""","""Blogger"""
"101207DE-M",Marzipan Joy,"""Oriental""","""Gourmand""","""Almond""","""White Blossom""","""Sweet Woods""","""Light Yellow""","10Y","""9""","""4""","""Blogger"""
"101207DE-S",Marzipan Joy,"""Oriental""","""Gourmand""","""Almond""","""White Blossom""","""Sweet Woods""","""Light Yellow""","10Y","""9""","""4""","""Blogger"""
